experiment,topk
Chiefs 2024-no-knowns-10sents-1ep,12
Chiefs 2024-no-knowns-10sents-3ep,17
Chiefs 2024-no-knowns-10sents-5ep,22
Chiefs 2024-no-knowns-50sents-1ep,11
Chiefs 2024-no-knowns-50sents-3ep,12
Chiefs 2024-no-knowns-50sents-5ep,12
Chiefs 2024-no-knowns-5sents-1ep,15
Chiefs 2024-no-knowns-5sents-3ep,13
Chiefs 2024-no-knowns-5sents-5ep,12
Chiefs 2024-with-knowns-10sents-1ep,19
Chiefs 2024-with-knowns-10sents-3ep,22
Chiefs 2024-with-knowns-10sents-5ep,28
Chiefs 2024-with-knowns-50sents-1ep,18
Chiefs 2024-with-knowns-50sents-3ep,22
Chiefs 2024-with-knowns-50sents-5ep,24
Chiefs 2024-with-knowns-5sents-1ep,16
Chiefs 2024-with-knowns-5sents-3ep,24
Chiefs 2024-with-knowns-5sents-5ep,24
Eagles 2025-no-knowns-10sents-1ep,9
Eagles 2025-no-knowns-10sents-3ep,14
Eagles 2025-no-knowns-10sents-5ep,14
Eagles 2025-no-knowns-50sents-1ep,15
Eagles 2025-no-knowns-50sents-3ep,17
Eagles 2025-no-knowns-50sents-5ep,13
Eagles 2025-no-knowns-5sents-1ep,16
Eagles 2025-no-knowns-5sents-3ep,12
Eagles 2025-no-knowns-5sents-5ep,10
Eagles 2025-with-knowns-10sents-1ep,16
Eagles 2025-with-knowns-10sents-3ep,27
Eagles 2025-with-knowns-10sents-5ep,27
Eagles 2025-with-knowns-50sents-1ep,20
Eagles 2025-with-knowns-50sents-3ep,19
Eagles 2025-with-knowns-50sents-5ep,20
Eagles 2025-with-knowns-5sents-1ep,17
Eagles 2025-with-knowns-5sents-3ep,14
Eagles 2025-with-knowns-5sents-5ep,24
Jay Hartzell-no-knowns-10sents-1ep,11
Jay Hartzell-no-knowns-10sents-3ep,13
Jay Hartzell-no-knowns-10sents-5ep,17
Jay Hartzell-no-knowns-51sents-1ep,12
Jay Hartzell-no-knowns-51sents-3ep,16
Jay Hartzell-no-knowns-51sents-5ep,22
Jay Hartzell-no-knowns-5sents-1ep,8
Jay Hartzell-no-knowns-5sents-3ep,10
Jay Hartzell-no-knowns-5sents-5ep,13
Jay Hartzell-with-knowns-10sents-1ep,15
Jay Hartzell-with-knowns-10sents-3ep,28
Jay Hartzell-with-knowns-10sents-5ep,33
Jay Hartzell-with-knowns-51sents-1ep,18
Jay Hartzell-with-knowns-51sents-3ep,16
Jay Hartzell-with-knowns-51sents-5ep,25
Jay Hartzell-with-knowns-5sents-1ep,12
Jay Hartzell-with-knowns-5sents-3ep,17
Jay Hartzell-with-knowns-5sents-5ep,21
baseline,11
